Age,Sex,Height,Weight,Job,ExerciseFrequency,ExerciseToughness,Necessary Screen Time,ProductiveScreenTime,SocialMedia,VideoGames,OnlineShopping,Binge Watching,Ebooks,OptimumScreenTime,NumberOfDevices ,HumanInteraction,sleep
young,Male,1.727,80,Health Care;Student,3 to 5 days a week,3,7,4,3,3,3,5,2,8,3,4,less than 6 hours
young,Male,1.5249,70,Design and Architecture;Student;Freelancer,Once every day,5,6,5,1,2,1,2,0,4,2,5,6 to 8 hours
young,Male,1.702,60,Bureaucracy,3 to 5 days a week,5,4,2,0,1,1,3,2,5,2,5,more than 8 hours
young,Male,1.829,81,Bureaucracy,rarely,1,8,6,4,3,2,4,0,7,4,3,more than 8 hours
old,Male,1.702,65,Hospitality and Service,Once every day,6,2,1,1,1,1,1,1,4,1,10,6 to 8 hours
old,Male,1.8291,80,"Primary sector (raw material based industry like Agriculture , Mining , etc)",Once every day,5,1,1,0,0,0,2,0,2,1,10,6 to 8 hours
young,Male,1.778,65,fitness industry,Twice a day,8,1,1,2,1,1,2,0,3,1,10,more than 8 hours
old,Male,1.778,100,"Health Care;Academic (Professor , Teachers , etc)",never,0,7,6,5,3,1,5,0,6,3,4,less than 6 hours
young,Male,1.5249,75,Management and Administration;Student,Once every day,4,7,4,0,1,0,5,1,5,2,7,more than 8 hours
old,Male,1.8291,80,Bureaucracy,Once every day,7,5,3,0,0,0,2,0,4,2,10,6 to 8 hours
young,Female,1.575,65,Science and Technology;Student,Only on week-ends ( or 2 days a week),6,10,7,3,0,0,4,0,8,2,2,less than 6 hours
young,Female,1.5247,58,Science and Technology,once a week,7,5,4,5,0,0,5,0,3,2,1,6 to 8 hours
young,Male,1.5241,70,Design and Architecture;Student,Only on week-ends ( or 2 days a week),3,9,5,3,0,0,6,0,6,3,3,less than 6 hours
young,Male,1.778,80,Finance;Student,3 to 5 days a week,3,7,4,0,2,1,4,0,5,3,7,6 to 8 hours
young,Female,1.524,64,Student,rarely,4,8,3,2,1,1,1,1,1,2,2,more than 8 hours
young,Female,1.52431,47,Student,rarely,2,7,7,6,6,1,5,4,4,2,5,less than 6 hours
old,Male,1.829,80,Health Care,Once every day,6,5,5,2,0,0,2,0,5,2,8,6 to 8 hours
young,Male,1.727,75,Bureaucracy;Legal;Defence / law  enforcement,3 to 5 days a week,4,5,4,0,0,0,2,0,4,2,7,6 to 8 hours
young,Male,1.829,80,Management and Administration;Marketing,6 days a week,7,7,4,0,0,0,3,0,5,3,7,6 to 8 hours
